CAST                        ,,19074761,WOD Unique Cast Number,WOD code,,,,,,,,,,,,,,,,,,,,,,,
NODC Cruise ID              ,,CN-947         ,,,,,,,,,,,,,,,,,,,,,,,,,
Originators Station ID      ,,45,,,integer,,,,,,,,,,,,,,,,,,,,,,
Originators Cruise ID       ,,2902754,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude                    ,,28.6515,decimal degrees,,,,,,,,,,,,,,,,,,,,,,,,
Longitude                   ,,134.4252,decimal degrees,,,,,,,,,,,,,,,,,,,,,,,,
Year                        ,,2019,,,,,,,,,,,,,,,,,,,,,,,,,
Month                       ,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Day                         ,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Time                        ,,21.9,decimal hours (UT),,,,,,,,,,,,,,,,,,,,,,,,
METADATA,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country                     ,,             CN,NODC code,CHINA,,,,,,,,,,,,,,,,,,,,,,,
Accession Number            ,,42682,NODC code,,,,,,,,,,,,,,,,,,,,,,,,
Project                     ,,517,NODC code,CHINA ARGO PROJECT,,,,,,,,,,,,,,,,,,,,,,,
Cast direction              ,,1,,UP,,,,,,,,,,,,,,,,,,,,,,,
probe_type                  ,,9,OCL_code,profiling float,,,,,,,,,,,,,,,,,,,,,,,
Real time data              ,,1,,real-time data,,,,,,,,,,,,,,,,,,,,,,,
Ocean vehicle type          ,,302,WOD code,PROVOR (free-drifting hydrographic profiler, IFREMER/MARTEC, France),,,,,,,,,,,,,,,,,,,,,
Database origin             ,,7,WOD code,US GODAE server (Argo),,,,,,,,,,,,,,,,,,,,,,,
WMO identification code     ,,2902754,,,,,,,,,,,,,,,,,,,,,,,,,
Originators flag set to use ,,12,WOD code,ARGO profiling floats,,,,,,,,,,,,,,,,,,,,,,,
Instrument       ,Temperature,4,WOD code,CTD: TYPE UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,
Instrument          ,Salinity,410,WOD code,CTD: Sea-Bird Electronics, MODEL UNKNOWN,,,,,,,,,,,,,,,,,,,,,,
Investigator       ,Cruise PI,4294,WOD code,CHAI; FEI,,,,,,,,,,,,,,,,,,,,,,,
ChlAvg,0.534074627,,,,,,,,,,,,,,,,,,,,,,,,,,
NumSamp,67,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Nitrate    ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,ug/l      ,, , ,dbar      ,, , 
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,9, ,          ,0, ,          ,0, ,          ,0, ,,,,,,
1,0,0,1,   ---0---,0,1,   ---0---,0,1,193.709,0,1,   ---0---,0,1,0.475,0,1,0,0,1,,,,,,
2,0.1,0,1,   ---0---,0,1,   ---0---,0,1,188.953,0,1,   ---0---,0,1,0.504,0,1,0.1,0,1,,,,,,
3,0.2,0,1,20.67,0,1,34.916,0,1,   ---0---,0,1,8.584,0,1,   ---0---,0,1,0.2,0,1,,,,,,
4,0.2,0,1,   ---0---,0,1,   ---0---,0,1,209.271,0,1,   ---0---,0,1,0.548,0,1,0.2,0,1,,,,,,
5,0.3,0,1,   ---0---,0,1,   ---0---,0,1,184.721,0,1,   ---0---,0,1,   ---0---,0,1,0.3,0,1,,,,,,
6,0.3,0,1,20.91,0,1,34.792,0,1,   ---0---,0,1,8.613,0,1,   ---0---,0,1,0.3,0,1,,,,,,
7,0.4,0,1,   ---0---,0,1,   ---0---,0,1,180.839,0,1,   ---0---,0,1,0.504,0,1,0.4,0,1,,,,,,
8,0.5,0,1,20.91,0,1,34.789,0,1,178.632,0,1,   ---0---,0,1,   ---0---,0,1,0.5,0,1,,,,,,
9,0.6,0,1,   ---0---,0,1,   ---0---,0,1,178.707,0,1,   ---0---,0,1,0.54,0,1,0.6,0,1,,,,,,
10,0.7,0,1,   ---0---,0,1,   ---0---,0,1,178.669,0,1,   ---0---,0,1,0.504,0,1,0.7,0,1,,,,,,
11,0.9,0,1,   ---0---,0,1,   ---0---,0,1,178.823,0,1,   ---0---,0,1,0.54,0,1,0.9,0,1,,,,,,
12,1,0,1,   ---0---,0,1,   ---0---,0,1,178.702,0,1,   ---0---,0,1,0.533,0,1,1,0,1,,,,,,
13,1.3,0,1,20.93,0,1,34.785,0,1,   ---0---,0,1,8.802,0,1,   ---0---,0,1,1.3,0,1,,,,,,
14,1.3,0,1,   ---0---,0,1,   ---0---,0,1,178.298,0,1,   ---0---,0,1,0.526,0,1,1.3,0,1,,,,,,
15,1.4,0,1,   ---0---,0,1,   ---0---,0,1,178.315,0,1,   ---0---,0,1,0.518,0,1,1.4,0,1,,,,,,
16,1.5,0,1,20.93,0,1,34.782,0,1,178.669,0,1,   ---0---,0,1,0.518,0,1,1.5,0,1,,,,,,
17,1.6,0,1,   ---0---,0,1,   ---0---,0,1,178.713,0,1,   ---0---,0,1,0.526,0,1,1.6,0,1,,,,,,
18,1.7,0,1,   ---0---,0,1,   ---0---,0,1,178.245,0,1,   ---0---,0,1,0.54,0,1,1.7,0,1,,,,,,
19,1.8,0,1,   ---0---,0,1,   ---0---,0,1,178.673,0,1,   ---0---,0,1,0.504,0,1,1.8,0,1,,,,,,
20,2,0,1,   ---0---,0,1,   ---0---,0,1,178.273,0,1,   ---0---,0,1,0.533,0,1,2,0,1,,,,,,
21,2.1,0,1,   ---0---,0,1,   ---0---,0,1,178.289,0,1,   ---0---,0,1,0.518,0,1,2.1,0,1,,,,,,
22,2.2,0,1,   ---0---,0,1,   ---0---,0,1,178.319,0,1,   ---0---,0,1,   ---0---,0,1,2.2,0,1,,,,,,
