CAST                        ,,18891854,WOD Unique Cast Number,WOD code,,,,,,,,,,,,,,,
NODC Cruise ID              ,,CN-949         ,,,,,,,,,,,,,,,,,
Originators Station ID      ,,6,,,integer,,,,,,,,,,,,,,
Originators Cruise ID       ,,2902750,,,,,,,,,,,,,,,,,
Latitude                    ,,29.23,decimal degrees,,,,,,,,,,,,,,,,
Longitude                   ,,134.8404,decimal degrees,,,,,,,,,,,,,,,,
Year                        ,,2018,,,,,,,,,,,,,,,,,
Month                       ,,9,,,,,,,,,,,,,,,,,
Day                         ,,14,,,,,,,,,,,,,,,,,
Time                        ,,12,decimal hours (UT),,,,,,,,,,,,,,,,
METADATA,,,,,,,,,,,,,,,,,,,
Country                     ,,             CN,NODC code,CHINA,,,,,,,,,,,,,,,
Accession Number            ,,42682,NODC code,,,,,,,,,,,,,,,,
Project                     ,,517,NODC code,CHINA ARGO PROJECT,,,,,,,,,,,,,,,
Cast direction              ,,1,,UP,,,,,,,,,,,,,,,
probe_type                  ,,9,OCL_code,profiling float,,,,,,,,,,,,,,,
Real time data              ,,1,,real-time data,,,,,,,,,,,,,,,
Ocean vehicle type          ,,302,WOD code,PROVOR (free-drifting hydrographic profiler, IFREMER/MARTEC, France),,,,,,,,,,,,,
Database origin             ,,7,WOD code,US GODAE server (Argo),,,,,,,,,,,,,,,
WMO identification code     ,,2902750,,,,,,,,,,,,,,,,,
Originators flag set to use ,,12,WOD code,ARGO profiling floats,,,,,,,,,,,,,,,
Instrument       ,Temperature,4,WOD code,CTD: TYPE UNKNOWN,,,,,,,,,,,,,,,
Instrument          ,Salinity,410,WOD code,CTD: Sea-Bird Electronics, MODEL UNKNOWN,,,,,,,,,,,,,,
Investigator       ,Cruise PI,4294,WOD code,CHAI; FEI,,,,,,,,,,,,,,,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,ug/l      ,, , ,dbar      ,, , 
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,,,
1,0.5,0,1,28.66,0,1,34.591,0,1,   ---0---,0,1,0.5,0,1,,,,
2,1.4,0,1,28.67,0,1,34.593,0,1,   ---0---,0,1,1.4,0,1,,,,
3,2.5,0,1,28.67,0,1,34.594,0,1,   ---0---,0,1,2.5,0,1,,,,
4,3.1,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,3.1,0,1,,,,
5,3.2,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,3.2,0,1,,,,
6,3.3,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,3.3,0,1,,,,
7,3.5,0,1,28.67,0,1,34.594,0,1,0.0657,0,1,3.5,0,1,,,,
8,3.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,3.6,0,1,,,,
9,3.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0511,0,1,3.8,0,1,,,,
10,3.9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,3.9,0,1,,,,
11,4,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,4,0,1,,,,
12,4.1,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,4.1,0,1,,,,
13,4.3,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,4.3,0,1,,,,
14,4.4,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,4.4,0,1,,,,
15,4.6,0,1,28.66,0,1,34.594,0,1,0.0657,0,1,4.6,0,1,,,,
16,4.7,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,4.7,0,1,,,,
17,4.9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,4.9,0,1,,,,
18,5,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,5,0,1,,,,
19,5.2,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,5.2,0,1,,,,
20,5.4,0,1,   ---0---,0,1,   ---0---,0,1,0.0511,0,1,5.4,0,1,,,,
21,5.5,0,1,28.49,0,1,34.602,0,1,0.0584,0,1,5.5,0,1,,,,
22,5.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,5.6,0,1,,,,
23,5.7,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,5.7,0,1,,,,
24,6,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,6,0,1,,,,
25,6.2,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,6.2,0,1,,,,
26,6.4,0,1,   ---0---,0,1,   ---0---,0,1,0.0803,0,1,6.4,0,1,,,,
27,6.5,0,1,28.4,0,1,34.595,0,1,0.0511,0,1,6.5,0,1,,,,
28,6.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,6.6,0,1,,,,
29,6.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,6.8,0,1,,,,
30,6.9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,6.9,0,1,,,,
31,7,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,7,0,1,,,,
32,7.3,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,7.4,0,1,,,,
33,7.4,0,1,28.3,0,1,34.616,0,1,   ---0---,0,1,7.5,0,1,,,,
34,7.5,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,7.6,0,1,,,,
35,7.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0511,0,1,7.7,0,1,,,,
36,7.7,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,7.8,0,1,,,,
37,7.9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,8,0,1,,,,
38,8,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,8.1,0,1,,,,
39,8.2,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,8.3,0,1,,,,
40,8.4,0,1,28.2,0,1,34.626,0,1,   ---0---,0,1,8.5,0,1,,,,
41,8.6,0,1,   ---0---,0,1,   ---0---,0,1,0.073,0,1,8.7,0,1,,,,
42,8.7,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,8.8,0,1,,,,
43,8.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,8.9,0,1,,,,
44,9,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,9.1,0,1,,,,
45,9.2,0,1,   ---0---,0,1,   ---0---,0,1,0.073,0,1,9.3,0,1,,,,
46,9.3,0,1,   ---0---,0,1,   ---0---,0,1,0.0584,0,1,9.4,0,1,,,,
47,9.4,0,1,28.14,0,1,34.631,0,1,   ---0---,0,1,9.5,0,1,,,,
48,9.6,0,1,   ---0---,0,1,   ---0---,0,1,0.0803,0,1,9.7,0,1,,,,
49,9.8,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,9.9,0,1,,,,
50,10,0,1,   ---0---,0,1,   ---0---,0,1,0.0657,0,1,10.1,0,1,,,,
