source, lon, lat, year, month, day, timediff, ArgoChl, ArgoNum, NNChl, OC4Chl, NNChlAvg, OC4ChlAvg
argo, 133.3721, 28.6192, 2019, 1, 27, -54.225278, 0.546140, 59, NaN, NaN, NaN, -0.866142
argo, 133.3721, 28.6192, 2019, 1, 27, 18.148889, 0.546140, 59, -1.070866, -0.755906, -1.102362, -0.803150
argo, 132.9493, 28.5833, 2019, 2, 1, -1.796944, 0.364755, 61, -0.488189, -0.740157, -0.488189, -0.740157
argo, 132.0615, 27.0769, 2019, 2, 26, 22.506111, 0.202574, 59, -1.118110, -0.787402, -1.110236, -0.755906
argo, 132.1399, 26.8737, 2019, 3, 3, -1.556389, 0.071216, 66, -1.118110, -0.992126, -1.133858, -0.992126
argo, 132.3186, 26.9754, 2019, 3, 13, -49.598333, 0.170982, 63, NaN, -0.740157, 0.062992, -0.740157
argo, 132.3186, 26.9754, 2019, 3, 13, -26.034722, 0.170982, 63, -0.897638, -0.692913, -0.897638, -0.692913
argo, 132.3718, 27.1199, 2019, 3, 18, -50.180278, 0.111651, 50, -0.850394, -0.755906, -0.881890, -0.755906
argo, 132.3718, 27.1199, 2019, 3, 18, 45.757778, 0.111651, 50, NaN, -0.771654, NaN, -0.724409
argo, 132.6125, 27.7034, 2019, 3, 28, -25.980000, 0.340398, 77, -0.440945, -0.409449, -0.551181, -0.409449
argo, 134.5845, 29.6510, 2019, 1, 3, -58.785278, 5.432558, 43, -1.212598, -0.834646, -1.212598, -0.803150
argo, 134.3453, 29.6526, 2019, 1, 4, -10.361111, 5.272340, 47, NaN, NaN, -0.913386, -0.527559
argo, 133.9394, 29.7589, 2019, 1, 6, -58.461111, 5.567857, 56, -1.070866, -0.629921, -1.070866, -0.614173
argo, 134.4720, 30.1667, 2019, 1, 18, -58.647778, 5.357778, 45, -1.149606, -0.755906, -1.291339, -0.866142
argo, 133.7162, 30.4050, 2019, 1, 22, 60.941389, 5.284783, 46, -1.291339, NaN, -1.204724, -0.921260
argo, 134.2623, 30.1087, 2019, 2, 17, 61.277778, 5.450000, 42, -1.086614, -0.850394, -1.102362, -0.708661
argo, 134.9055, 29.7970, 2019, 3, 13, -35.034722, 5.647826, 46, NaN, NaN, -0.669291, -0.787402
argo, 134.7534, 29.6752, 2019, 3, 14, -59.034722, 5.500000, 51, -0.755906, -0.771654, -0.740157, -0.732283
argo, 133.9179, 29.6792, 2019, 3, 18, 36.841111, 5.691304, 46, NaN, NaN, -1.165354, -0.724409
argo, 133.4406, 30.4266, 2019, 3, 24, 61.070000, 5.509302, 43, -0.944882, -0.677165, -0.944882, -0.818898
argo, 134.9429, 28.9381, 2019, 5, 3, 36.884444, 5.533333, 45, NaN, NaN, -0.716535, -0.960630
argo, 134.0609, 28.8468, 2019, 5, 13, -34.720556, 5.593478, 46, NaN, NaN, -1.125984, -0.787402
argo, 134.0609, 28.8468, 2019, 5, 13, -11.156667, 5.593478, 46, NaN, NaN, -1.346457, -1.000000
argo, 133.8799, 28.7870, 2019, 5, 15, -59.240000, 5.444681, 47, NaN, NaN, -1.181102, -1.039370
argo, 133.4301, 28.7103, 2019, 5, 21, 61.092500, 4.987931, 58, NaN, NaN, -1.244094, -1.228346
argo, 133.3202, 28.6872, 2019, 5, 23, 13.092500, 5.519048, 42, -1.259843, -1.118110, -1.259843, -1.118110
argo, 133.2348, 28.7135, 2019, 5, 25, -34.907500, 5.271930, 57, -1.307087, -1.039370, -1.275591, -1.267717
argo, 133.2348, 28.7135, 2019, 5, 25, 61.030278, 5.271930, 57, NaN, NaN, -1.496063, -1.385827
argo, 133.1205, 28.7623, 2019, 5, 27, 13.030278, 5.528571, 49, NaN, NaN, -1.590551, -1.464567
argo, 134.9745, 29.2849, 2018, 9, 13, -35.342500, 0.059698, 50, NaN, NaN, -1.889764, -1.606299
argo, 134.8404, 29.2300, 2018, 9, 14, -59.159167, 6.395833, 48, NaN, NaN, -1.952756, -1.496063
argo, 134.9745, 29.2849, 2018, 9, 13, 37.031667, 0.059698, 50, -1.921260, NaN, -1.929134, -1.598425
argo, 134.8404, 29.2300, 2018, 9, 14, 13.215000, 6.395833, 48, -1.889764, -1.527559, -1.811024, -1.543307
argo, 134.6823, 29.1933, 2018, 9, 15, -10.785000, 6.410000, 50, -1.826772, -1.511811, -1.826772, -1.527559
argo, 134.4818, 29.1880, 2018, 9, 16, -34.685000, 6.427273, 33, -1.874016, -1.685039, -1.881890, -1.590551
argo, 134.2751, 29.1903, 2018, 9, 17, -58.968333, 6.615385, 39, -1.842520, -1.590551, -1.866142, -1.629921
argo, 134.9745, 29.2849, 2018, 9, 13, 60.595278, 0.059698, 50, NaN, NaN, -1.866142, -1.409449
argo, 134.6823, 29.1933, 2018, 9, 15, 12.778611, 6.410000, 50, -1.842520, -1.417323, -1.905512, -1.212598
argo, 134.4818, 29.1880, 2018, 9, 16, -11.121389, 6.427273, 33, -1.952756, -1.480315, -1.968504, -1.291339
