pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,3290,306,29.19631885,130.9749028,0.09648005,0.006990719
2,3290,307,29.19373077,130.9742286,0.09585786,0.009070521
3,3290,308,29.19114204,130.9735574,0.09878681,0.011285268
4,3290,309,29.18855442,130.9728826,0.10273593,0.010602342
5,3290,310,29.18596639,130.9722079,0.10636157,0.009027255
6,3290,311,29.18337753,130.9715357,0.10891915,0.008560967
7,3290,312,29.18078868,130.9708615,0.11532349,0.010120161
8,3290,313,29.17820034,130.970188,0.12338061,0.009504796
9,3290,314,29.17561275,130.9695112,0.13372003,0.010046869
10,3290,315,29.17302359,130.9688321,0.13971278,0.009333114
11,3290,316,29.17043368,130.9681585,0.14203417,0.010345854
12,3290,317,29.16784534,130.9674863,0.14565963,0.012565578
13,3290,318,29.16525657,130.9668111,0.14565963,0.012565578
14,3290,319,29.16266824,130.9661375,0.1489939,0.009485858
15,3290,320,29.16008021,130.9654656,0.13941634,0.013012168
16,3290,321,29.15749175,130.9647909,0.1301721,0.0172014
17,3290,322,29.15490342,130.9641173,0.112789035,0.016127447
18,3290,323,29.15231477,130.9634432,0.10686061,0.014261895
19,3290,324,29.14972662,130.9627684,0.10161261,0.011987284
20,3290,325,29.14713785,130.9620966,0.10269726,0.010658545
21,3290,326,29.14454951,130.961425,0.099126585,0.005435137
22,3290,327,29.14196167,130.9607503,0.09528853,0.006530404
23,3290,328,29.13937246,130.9600762,0.097380295,0.008904165
