pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2901,295,29.43326243,129.927707,0.06731269,0.003247823
2,2902,295,29.43274117,129.930425,0.0679245,0.004621726
3,2903,295,29.43221991,129.933143,0.06877598,0.005042839
4,2904,295,29.43169865,129.9358609,0.06794411,0.004928513
5,2905,295,29.43117739,129.9385789,0.06713829,0.004951506
6,2906,295,29.43065613,129.9412969,0.06769942,0.005238398
7,2907,295,29.43013487,129.9440149,0.06988503,0.004845732
8,2908,295,29.4296136,129.9467328,0.07314556,0.006716036
9,2909,295,29.42909234,129.9494508,0.072854824,0.006756486
10,2910,295,29.42857108,129.9521688,0.074701004,0.007608414
11,2911,295,29.42804982,129.9548868,0.0727767,0.005607434
12,2912,295,29.42752856,129.9576047,0.077403076,0.010714108
13,2913,295,29.4270073,129.9603227,0.0799855,0.011304075
14,2914,295,29.42648604,129.9630407,0.08699357,0.011632128
15,2915,295,29.42596478,129.9657587,0.09034697,0.009791748
16,2916,295,29.42544352,129.9684766,0.0938778,0.007960718
17,2917,295,29.42492226,129.9711946,0.09261884,0.006000901
18,2918,295,29.424401,129.9739126,0.094967194,0.007414168
19,2919,295,29.42387974,129.9766306,0.09069936,0.009753333
20,2920,295,29.42335847,129.9793485,0.092119195,0.009202157
21,2921,295,29.42283721,129.9820665,0.08911833,0.008161425
22,2922,295,29.42231595,129.9847845,0.09305199,0.007087003
23,2923,295,29.42179469,129.9875025,0.092020735,0.008227991
24,2924,296,29.41868426,129.9895723,0.08992901,0.009415088
25,2925,296,29.41816301,129.9922903,0.08616683,0.006100493
26,2926,296,29.41764176,129.9950082,0.08624,0.00710988
27,2927,296,29.41712052,129.9977262,0.0815328,0.007064409
28,2928,296,29.41659927,130.0004441,0.07888831,0.006123154
29,2929,296,29.41607802,130.0031621,0.07597577,0.003995521
30,2930,296,29.41555677,130.00588,0.07820194,0.00515479
31,2931,296,29.41503553,130.008598,0.07982478,0.005745937
32,2932,296,29.41451428,130.011316,0.0798021,0.00540045
33,2933,296,29.41399303,130.0140339,0.08048764,0.006096763
34,2934,296,29.41347178,130.0167519,0.078261465,0.006165358
35,2935,296,29.41295053,130.0194698,0.07766927,0.006627968
36,2936,296,29.41242929,130.0221878,0.075070165,0.004093107
37,2937,296,29.41190804,130.0249057,0.0750483,0.003616347
38,2938,296,29.41138679,130.0276237,0.07390455,0.004638644
39,2939,296,29.41086554,130.0303416,0.07387155,0.003977013
40,2940,296,29.4103443,130.0330596,0.07418415,0.004280857
41,2941,296,29.40982305,130.0357775,0.076534964,0.002607633
42,2942,296,29.4093018,130.0384955,0.07447799,0.004295772
43,2943,296,29.40878055,130.0412134,0.07359429,0.004469161
44,2944,296,29.40825753,130.0439305,0.06986865,0.004701398
45,2945,296,29.40773272,130.0466467,0.06960861,0.005037359
46,2946,296,29.40720792,130.0493629,0.06761268,0.003852988
47,2947,296,29.40668312,130.0520791,0.069904625,0.005433795
