pixel_no,pixel_x,pixel_y,latitude,longitude,CHL_NN_mean,CHL_NN_sigma
1,2441,266,29.73912088,129.6257108,0.03751377,0.001391909
2,2442,267,29.73603508,129.6278257,0.03751377,0.001391909
3,2443,267,29.73553901,129.630558,0.03722182,0.001637564
4,2444,268,29.73245249,129.6326784,0.03722162,0.00162202
5,2445,269,29.72936582,129.6347905,0.03751357,0.001373636
6,2446,269,29.72886974,129.6375226,0.038636476,0.002550998
7,2447,270,29.72578295,129.6396364,0.041232962,0.003052251
8,2448,271,29.72269601,129.6417563,0.042210538,0.002588264
9,2449,271,29.72219997,129.6444882,0.043219056,0.002197361
10,2450,272,29.71911388,129.6465996,0.04482772,0.002533373
11,2451,273,29.71602664,129.6487137,0.04595689,0.003135429
12,2452,273,29.71553057,129.6514455,0.045918796,0.002511392
13,2453,274,29.7124426,129.6535647,0.045971964,0.003423274
14,2454,274,29.71194654,129.6562964,0.044706587,0.003563003
15,2455,275,29.7088591,129.6584074,0.04492478,0.004002763
16,2456,276,29.70577271,129.6605201,0.041905303,0.003191579
17,2457,276,29.70527664,129.6632516,0.041742552,0.003272304
18,2458,277,29.70219056,129.6653698,0.038141597,0.001881965
19,2459,278,29.69910418,129.667484,0.037070062,0.001561716
20,2460,278,29.69860813,129.6702155,0.03647499,0.001466083
21,2461,279,29.69552101,129.6723284,0.03532761,0.001683177
22,2462,280,29.6924335,129.6744429,0.035317395,0.00142752
23,2463,280,29.69193744,129.6771741,0.035030268,0.001292658
24,2464,281,29.68885106,129.6792875,0.034492414,0.001842204
