FormationIDNum,FormationType,ProfileType,Year,Month,Day,Date,JD,Hr,Min,Season,Eddy_gradient_log10,FWHM_km,E_centerlat,E_centerlon,Cntr_chl_log10,Cntr_chl_stdev_log10,Bound_chl_log10,Bound_chl_stdev_log10,Upstream_Island,east_lat,east_lon,is_dist_km,Island_Diameter_km,r1angle,r1vel,r3angle,r3vel,Observations
1,Eddy,BC,2019,4,26,26/04/2019,116,1,31,Spring,-1.7295,2.9218,29.164,130.97,-0.83172,-1.9576,-1.0294,-2.0843,Takarajima,29.127934,129.222627,169.93,3.38,77.375,0.46562,99.566,0.38181,"Very cloudy, only one eddy distinguishable"
2,Eddy,B,2019,5,23,23/05/2019,143,1,31,Spring,-1.9742,3.1059,29.809,130.06,-0.99717,-2.1494,-1.1658,-2.3852,Kuchinoshima,29.95776,129.94666,19.847,5.72,73.02,0.49658,88.24,0.37082,"v. clear eddies, only measured those that appear unattached to plume of Yakushima island"
3,Eddy,AB,2019,5,23,23/05/2019,143,1,31,Spring,-2.0034,5.2507,29.693,130.24,-0.93388,-2.2408,-1.1029,-2.2159,Kuchinoshima,29.95776,129.94666,40.88,5.72,73.02,0.49658,88.24,0.37082,""""""
4,Eddy,AB,2019,5,23,23/05/2019,143,1,31,Spring,-2.2211,3.9559,29.425,129.98,-1.0266,-2.1058,-1.1738,-2.3907,Suwanosejima,29.665958,129.748714,34.946,7.28,73.02,0.49658,88.24,0.37082,""""""
5,Eddy,BC,2019,5,23,23/05/2019,143,1,31,Spring,-1.8584,1.6724,29.203,129.96,-1.0489,-1.9813,-1.2185,-2.3789,Akusekijima,29.449322,129.619813,42.918,3.2,73.02,0.49658,88.24,0.37082,""""""
6,Eddy,AB,2019,5,23,23/05/2019,143,1,31,Spring,-2.0249,5.3162,29.227,130.3,-1.0174,-2.1762,-1.1969,-2.3617,Akusekijima,29.449322,129.619813,70.494,3.2,73.02,0.49658,88.24,0.37082,""""""
7,Eddy,ABC,2019,5,23,23/05/2019,143,1,31,Spring,-2.1772,8.915,29.13,130.68,-0.94481,-1.9678,-1.196,-2.3544,Takarajima,29.127934,129.222627,141.71,3.38,73.02,0.49658,88.24,0.37082,""""""
8,Eddy,BC,2019,5,24,24/05/2019,144,1,5,Spring,-2.527,3.9199,29.439,129.72,-1.3472,-2.9673,-1.4536,-2.725,Akusekijima,29.449322,129.619813,9.78,3.2,73.7,0.50715,84.671,0.38297,
9,Eddy,AC,2019,5,24,24/05/2019,144,1,5,Spring,-2.9232,12.027,29.361,130.49,-1.2777,-2.5684,-1.3758,-2.6092,Nakanoshima,29.82108,129.91814,75.414,6.99,73.7,0.50715,84.671,0.38297,
10,Eddy,AB,2019,6,20,20/06/2019,171,1,5,Spring,-2.4825,3.1446,29.197,130.83,-1.3312,-2.6623,-1.4387,-2.7466,Kuchinoshima,29.95776,129.94666,120.35,5.72,85.596,0.4289,106.82,0.51772,"cloudy, only one clear eddy visible"
11,Eddy,AB,2019,8,1,01/08/2019,213,1,16,Summer,-2.4939,2.3069,29.448,129.94,-1.5464,-2.6987,-1.6631,-2.7938,Akusekijima,29.449322,129.619813,31.038,3.2,70.886,0.47293,84.763,0.39811,
12,Eddy,AB,2019,8,1,01/08/2019,213,1,16,Summer,-2.6581,2.4039,29.444,130.26,-1.5302,-2.7197,-1.6869,-2.8933,Akusekijima,29.449322,129.619813,62.062,3.2,70.886,0.47293,84.763,0.39811,
13,Eddy,AC,2019,8,16,16/08/2019,228,1,27,Summer,-2.5806,2.9902,29.96,130.15,-1.3505,-2.7249,-1.4315,-2.9852,Kuchinoshima,29.95776,129.94666,19.613,5.72,72.192,0.47232,70.143,0.458,Lg plume from North - interference - current change in direction from norm? more southward?
14,Eddy,AC,2019,8,16,16/08/2019,228,1,27,Summer,-2.4623,4.8105,29.947,130.04,-1.3011,-2.3786,-1.4175,-2.8147,Kuchinoshima,29.95776,129.94666,9.0821,5.72,72.192,0.47232,70.143,0.458,""""""
15,Eddy,AB,2019,8,16,16/08/2019,228,1,27,Summer,-2.3405,3.6284,29.598,129.78,-1.2948,-2.55,-1.4472,-2.612,Suwanosejima,29.665958,129.748714,8.1483,7.28,72.192,0.47232,70.143,0.458,""""""
16,Eddy,AC,2019,8,16,16/08/2019,228,1,27,Summer,-2.446,3.5289,29.482,129.81,-1.3046,-2.3443,-1.4638,-2.7064,Akusekijima,29.449322,129.619813,18.789,3.2,72.192,0.47232,70.143,0.458,""""""
17,Eddy,C,2019,9,16,16/09/2019,259,1,24,Summer,-2.5439,2.5561,29.648,129.62,-1.2891,-2.6186,-1.3775,-2.7248,Tairajima,29.685502,129.540598,8.7416,2.33,66.161,0.26776,95.349,0.2391,""""""
18,Eddy,BC,2019,9,16,16/09/2019,259,1,24,Summer,-2.446,2.1474,29.764,129.66,-1.2742,-2.5514,-1.3658,-2.7862,Gajajima,29.897916,129.554715,18.045,2.38,66.161,0.26776,95.349,0.2391,""""""
19,Eddy,AC,2019,10,5,05/10/2019,278,1,31,Autumn,-2.3504,2.8931,29.821,130.02,-1.375,-2.7621,-1.5515,-2.7168,Kuchinoshima,29.95776,129.94666,16.789,5.72,76.162,0.3363,83.162,0.32949,
20,Eddy,BC,2019,10,5,05/10/2019,278,1,31,Autumn,-2.3342,3.1497,29.661,130.25,-1.3742,-2.8131,-1.5042,-2.5163,Kuchinoshima,29.95776,129.94666,44.156,5.72,76.162,0.3363,83.162,0.32949,
21,Eddy,AB,2019,10,5,05/10/2019,278,1,31,Autumn,-2.4093,2.7332,29.502,129.79,-1.3579,-2.5328,-1.517,-2.7657,Suwanosejima,29.665958,129.748714,18.684,7.28,76.162,0.3363,83.162,0.32949,
