ormationIDNum,FormationType,ProfileType,Year,Month,Day,Date,JD,Hr,Min,Season,Filament_gradient_log10,FWHM_km,T1centerlat,T1centerlon,Center_chl_log10,Center_chl_stdev_log10,Boundary_chl_log10,Bounds_chl_stdev_log10,Upstream Island,east_lat,east_lon,is_dist_km,IslandDiameter(m),r1angle,r1vel,r3angle,r3vel,Comments
48,Filament,ABCP,2018,3,29,29/03/2018,88,1,20,Spring,-2.2254,6.5254,29.655,129.79,-0.9226,-2.0672,-1.049,-2.3111,Suwanosejima,29.665958,129.748714,4.1759,7.28,75.07,0.43445,93.025,0.34042,
39,Filament,CP,2017,4,4,04/04/2017,94,1,26,Spring,-2.3564,7.4474,29.588,129.77,-0.82601,-2.145,-0.90757,-2.0766,Suwanosejima,29.665958,129.748714,8.9193,7.28,87.584,0.39177,106.64,0.36872,
40,Filament,ABC,2017,4,19,19/04/2017,109,1,38,Spring,-1.8071,2.5459,29.812,129.61,-0.70295,-1.8828,-0.78297,-1.9389,Gajajima,29.897916,129.554715,10.953,2.38,81.545,0.48181,109.71,0.5187,
41,Filament,ABC,2017,4,19,19/04/2017,109,1,38,Spring,-1.909,6.3375,29.787,129.92,-0.65482,-2.0732,-0.76907,-1.9948,Nakanoshima,29.82108,129.91814,3.798,6.99,81.545,0.48181,109.71,0.5187,
42,Filament,ABCP,2017,4,19,19/04/2017,109,1,38,Spring,-1.9986,4.0484,29.589,129.72,-0.73001,-1.8151,-0.79987,-2.0081,Suwanosejima,29.665958,129.748714,9.0062,7.28,81.545,0.48181,109.71,0.5187,
49,Filament,ABP,2018,4,20,20/04/2018,110,1,47,Spring ,-0.99278,3.7663,30.012,129.93,-0.11854,-1.063,-0.34492,-1.3257,Kuchinoshima,29.95776,129.94666,6.248,5.72,83.222,0.58511,93.914,0.52126,
50,Filament,BCP,2018,4,28,28/04/2018,118,1,42,Spring ,-2.0208,8.0838,29.627,129.77,-0.89114,-1.9805,-1.2178,-2.4671,Suwanosejima,29.665958,129.748714,4.8009,7.28,84.308,0.55377,105.59,0.53805,
51,Filament,ABP,2018,4,28,28/04/2018,118,1,42,Spring ,-1.9696,5.119,29.436,129.63,-0.99078,-2.1861,-1.2215,-2.3102,Akusekijima,29.449322,129.619813,1.7817,3.2,84.308,0.55377,105.59,0.53805,
52,Filament,BCP,2018,4,28,28/04/2018,118,1,42,Spring ,-2.0625,4.0912,29.672,129.58,-1.0409,-2.3112,-1.2788,-2.5248,Tairajima,29.685502,129.540598,4.0965,2.33,84.308,0.55377,105.59,0.53805,
1,Filament,AC,2019,5,23,23/05/2019,143,1,31,Spring,-2.2877,2.3356,29.569,129.73,-1.1362,-2.2598,-1.2017,-2.402,Suwanosejima,29.665958,129.748714,10.944,7.28,73.02,0.49658,88.24,0.37082,
2,Filament,AC,2019,5,23,23/05/2019,143,1,31,Spring,-2.1657,5.4887,29.271,130.25,-1.0623,-2.1372,-1.2088,-2.3683,Suwanosejima,29.665958,129.748714,65.524,7.28,73.02,0.49658,88.24,0.37082,
3,Filament,BCP,2019,5,23,23/05/2019,143,1,31,Spring,-2.3746,4.5988,29.118,129.73,-1.1555,-2.2825,-1.289,-2.7512,Takarajima,29.127934,129.222627,49.352,3.38,73.02,0.49658,88.24,0.37082,
4,Filament,A,2019,5,24,24/05/2019,144,1,5,Spring,-2.9615,11.736,29.236,129.61,-1.3732,-2.6447,-1.4709,-2.8619,Takarajima,29.127934,129.222627,39.524,3.38,73.7,0.50715,84.671,0.38297,
5,Filament ,ABP,2019,5,24,24/05/2019,144,1,5,Spring,-2.7459,8.2734,29.59,129.77,-1.3531,-2.6428,-1.4251,-2.7253,Suwanosejima,29.665958,129.748714,8.7029,7.28,73.7,0.50715,84.671,0.38297,
14,Filament,ABP,2019,5,21,21/05/2019,141,1,41,Spring,-1.847,1.9652,29.914,129.94,-0.96382,-1.9846,-1.0723,-2.1981,Kuchinoshima,29.95776,129.94666,4.9135,5.72,72.567,0.47908,92.744,0.35166,seems to be clear upwelling train in wake of island - thin and concentrated
