2017JD  theta1  r1  theta2  r2 theta3 r3
1 74.366742 0.452007 76.982648 0.162445 89.838868 0.358123
2 74.422116 0.451607 76.050875 0.156320 88.597870 0.360899
3 74.202370 0.448623 75.116664 0.155440 87.499039 0.364104
4 73.420352 0.444873 75.241599 0.154282 86.980665 0.367949
5 72.349211 0.440236 77.733442 0.153499 86.757012 0.369744
6 70.949211 0.434833 80.142003 0.160274 87.052015 0.369439
7 69.412688 0.425931 84.336603 0.171532 86.945201 0.367792
8 68.809783 0.418957 88.080638 0.178545 87.980285 0.368391
9 68.247050 0.411811 91.388924 0.192872 89.558571 0.362196
10 67.827633 0.405439 94.075476 0.206309 91.447535 0.358629
11 67.520810 0.402594 94.962254 0.217111 93.359929 0.349537
12 67.889152 0.399688 95.687542 0.223832 95.544795 0.340421
13 68.610675 0.401222 95.558900 0.227756 98.090851 0.334720
14 69.601027 0.402085 94.364989 0.226778 100.382010 0.325268
15 70.724372 0.402737 92.822123 0.220370 102.305312 0.318118
16 72.021839 0.408606 90.090436 0.207488 103.850911 0.314561
17 73.543254 0.418324 85.902204 0.188534 105.120427 0.314103
18 74.899265 0.430618 80.400072 0.167194 105.251915 0.317396
19 75.651547 0.440702 71.730707 0.145741 105.431822 0.320137
20 75.958358 0.445513 63.418815 0.134999 105.745086 0.319092
21 75.569393 0.450814 55.725408 0.126554 105.310232 0.320427
22 75.229256 0.451166 49.548080 0.123461 105.748578 0.322944
23 74.675786 0.455484 45.097679 0.120283 105.520709 0.326294
24 74.348836 0.458802 42.504887 0.118693 104.991261 0.329071
25 73.908641 0.460317 40.805736 0.116500 103.919795 0.331296
26 73.581093 0.460319 40.466891 0.114093 102.991740 0.330532
27 73.307104 0.463261 41.346594 0.116324 100.707045 0.331985
28 72.992995 0.471265 39.846853 0.110178 97.860846 0.336546
29 72.582605 0.474713 41.216905 0.107867 95.557840 0.335814
30 72.771101 0.482063 37.539376 0.103729 93.463160 0.345121
31 72.938563 0.489160 35.259887 0.100583 91.619302 0.352276
32 73.352939 0.492802 31.417302 0.099661 90.150917 0.357956
33 74.008096 0.493129 30.572826 0.097212 90.197482 0.363357
34 74.979757 0.493542 35.897791 0.096224 91.279589 0.370611
35 75.702740 0.489391 37.059693 0.095093 91.283972 0.373915
36 76.817238 0.488933 37.451356 0.099525 92.546348 0.382485
37 77.859193 0.484188 39.745661 0.108062 94.362523 0.385751
38 78.901439 0.476197 40.626308 0.106213 96.558070 0.389487
39 80.025837 0.469092 42.250837 0.109206 99.449266 0.393368
40 80.686724 0.459885 44.409884 0.115857 103.040030 0.391092
41 80.812970 0.454546 48.022791 0.118135 106.515514 0.395702
42 80.377622 0.441908 55.412468 0.126518 109.976106 0.399543
43 80.268735 0.432634 60.433534 0.131148 112.564202 0.403247
44 80.568470 0.429041 64.984541 0.132673 114.589236 0.408065
45 81.360541 0.425361 69.587515 0.135581 116.684912 0.413302
46 82.708363 0.422526 73.027476 0.137661 119.000702 0.413467
47 84.791228 0.426564 74.946097 0.133861 120.354087 0.415715
48 88.023872 0.426296 79.636505 0.130634 121.075546 0.416471
49 91.016201 0.428094 82.702292 0.123972 121.893851 0.421499
50 93.684406 0.424792 86.855605 0.122875 123.495738 0.423664
51 96.318279 0.417940 89.374871 0.120070 124.415889 0.420111
52 98.172978 0.406560 90.572400 0.122371 125.794905 0.413064
53 100.062219 0.392025 92.591754 0.130586 127.782700 0.411514
54 101.773991 0.373083 95.466527 0.141790 129.214159 0.408311
55 103.689457 0.359567 97.871910 0.152600 130.818972 0.410367
56 105.382419 0.345051 98.238191 0.174107 132.855744 0.412532
57 106.129702 0.333018 96.852150 0.186870 135.099577 0.413646
58 106.440928 0.324043 94.938243 0.204660 138.272404 0.414945
59 107.454882 0.321643 93.567722 0.211640 140.991765 0.418488
60 108.852210 0.321719 91.984710 0.215114 143.402221 0.424119
61 109.143212 0.327551 92.216435 0.213255 144.508458 0.425541
62 109.788119 0.328679 89.879119 0.216848 146.008510 0.429796
63 110.237723 0.335041 87.779210 0.211224 146.671663 0.431776
64 110.309281 0.335480 87.292162 0.206168 146.886551 0.431436
65 110.213333 0.337087 87.946869 0.206553 147.013223 0.436206
66 110.005049 0.337209 89.438840 0.205995 146.256907 0.435256
67 108.921566 0.334056 91.138112 0.204783 145.547364 0.432715
68 108.269038 0.334619 91.818214 0.204706 145.081248 0.431668
69 107.407853 0.333198 92.095449 0.204229 144.580706 0.428128
70 106.375565 0.330730 91.519960 0.203392 143.283649 0.420237
71 104.407505 0.327226 90.146998 0.203656 142.121658 0.409692
72 102.794624 0.325513 89.606557 0.200602 140.799921 0.401009
73 100.756085 0.322017 88.155362 0.202007 139.513383 0.392763
74 98.796571 0.320180 87.845863 0.200729 137.642159 0.383845
75 97.002383 0.318876 88.094915 0.200638 135.590526 0.380122
76 94.685772 0.317974 89.624838 0.200832 132.818022 0.373433
77 92.324840 0.317692 89.992714 0.196608 130.545789 0.367079
78 89.930576 0.316364 91.312051 0.194343 128.155131 0.369260
79 88.243145 0.320742 91.702315 0.188931 125.694981 0.370995
80 87.053723 0.323733 91.111313 0.185487 124.180797 0.370243
81 86.454817 0.328746 91.672841 0.184894 122.383153 0.371147
82 86.211554 0.334985 91.907019 0.174442 121.341658 0.370839
83 86.804191 0.346037 90.291869 0.154592 119.241392 0.371426
84 88.062861 0.358942 88.367721 0.135160 118.418774 0.379697
85 88.611408 0.365573 88.516838 0.125274 117.916187 0.381671
86 89.362563 0.361735 91.078244 0.123022 119.229415 0.375271
