FormationType,ProfileType,Year,Month,Day,Season,Gradient,ClassNum,GradientClass,FWHM_km,CntrChl_log10,CntrChlStdev_log10,BoundChl_log10,BoundChlStdev_log10,UpstreamIsland,IslandDist_km,IslandDiam_km,r1angle,r1vel,r3angle,r3vel
Eddy,AC,2018,4,28,Spring,-2.1715,2,Medium,6.4257,-0.96047,-2.117,-1.1061,-2.2221,Akusekijima,41.476,3.2,84.308,0.55377,105.59,0.53805
Eddy,AC,2018,4,28,Spring,-2.0352,3,High,3.557,-0.93394,-2.2569,-1.1039,-2.2976,Akusekijima,24.467,3.2,84.308,0.55377,105.59,0.53805
Eddy,BC,2018,4,28,Spring,-1.7807,3,High,3.1546,-0.92127,-2.0977,-1.1047,-2.1214,Gajajima,12.485,2.38,84.308,0.55377,105.59,0.53805
Eddy,ABC,2018,4,28,Spring,-1.7687,3,High,5.1154,-0.87459,-2.0345,-1.1154,-2.1553,Nakanoshima,30.793,6.99,84.308,0.55377,105.59,0.53805
Eddy,BC,2018,4,28,Spring,-1.7315,3,High,4.8777,-0.88753,-2.1998,-1.1606,-2.2491,Gajajima,14.179,2.38,84.308,0.55377,105.59,0.53805
Eddy,BC,2019,4,26,Spring,-1.7295,3,High,2.9218,-0.83172,-1.9576,-1.0294,-2.0843,Takarajima,169.93,3.38,77.375,0.46562,99.566,0.38181
Eddy,ABC,2018,4,28,Spring,-1.6863,3,High,3.2917,-0.88503,-1.9887,-1.1283,-2.1328,Nakanoshima,27.34,6.99,84.308,0.55377,105.59,0.53805
Eddy,AB,2018,4,20,Spring,-0.5987,3,High,5.2792,0.28513,-0.59981,-0.25796,-1.3363,Gajajima,15.403,2.38,83.222,0.58511,93.914,0.52126
Eddy,AC,2019,5,24,Spring,-2.9232,1,Low,12.027,-1.2777,-2.5684,-1.3758,-2.6092,Nakanoshima,75.414,6.99,73.7,0.50715,84.671,0.38297
Eddy,BC,2019,5,24,Spring,-2.527,1,Low,3.9199,-1.3472,-2.9673,-1.4536,-2.725,Akusekijima,9.78,3.2,73.7,0.50715,84.671,0.38297
Eddy,AB,2019,5,23,Spring,-2.2211,2,Medium,3.9559,-1.0266,-2.1058,-1.1738,-2.3907,Suwanosejima,34.946,7.28,73.02,0.49658,88.24,0.37082
Eddy,ABC,2019,5,23,Spring,-2.1772,2,Medium,8.915,-0.94481,-1.9678,-1.196,-2.3544,Takarajima,141.71,3.38,73.02,0.49658,88.24,0.37082
Eddy,AB,2019,5,23,Spring,-2.0249,3,High,5.3162,-1.0174,-2.1762,-1.1969,-2.3617,Akusekijima,70.494,3.2,73.02,0.49658,88.24,0.37082
Eddy,AB,2019,5,23,Spring,-2.0034,3,High,5.2507,-0.93388,-2.2408,-1.1029,-2.2159,Kuchinoshima,40.88,5.72,73.02,0.49658,88.24,0.37082
Eddy,B,2019,5,23,Spring,-1.9742,3,High,3.1059,-0.99717,-2.1494,-1.1658,-2.3852,Kuchinoshima,19.847,5.72,73.02,0.49658,88.24,0.37082
Eddy,BC,2019,5,23,Spring,-1.8584,3,High,1.6724,-1.0489,-1.9813,-1.2185,-2.3789,Akusekijima,42.918,3.2,73.02,0.49658,88.24,0.37082
Eddy,AB,2019,6,20,Spring,-2.4825,1,Low,3.1446,-1.3312,-2.6623,-1.4387,-2.7466,Kuchinoshima,120.35,5.72,85.596,0.4289,106.82,0.51772
Eddy,BC,2016,6,27,Summer,-2.2868,2,Medium,3.8583,-1.3299,-2.5313,-1.5757,-2.8391,Kuchinoshima,30.706,5.72,76.157,0.381,87.851,0.3073
Eddy,BC,2016,6,27,Summer,-2.2273,2,Medium,4.016,-1.4416,-2.9477,-1.6858,-2.6353,Kuchinoshima,17.462,5.72,76.157,0.381,87.851,0.3073
Eddy,AC,2018,7,26,Summer,-2.5842,1,Low,6.3544,-1.326,-2.4306,-1.4803,-2.6805,Nakanoshima,56.977,6.99,67.761,0.35213,65.595,0.30745
Eddy,BC,2018,7,15,Summer,-2.5586,1,Low,3.6054,-1.307,-2.4932,-1.4169,-2.6599,Suwanosejima,26.091,7.28,69.099,0.43095,73.567,0.29556
Eddy,B,2016,7,5,Summer,-2.4471,2,Medium,4.4418,-1.3076,-2.7037,-1.4245,-2.6849,Kuchinoshima,33.114,5.72,77.603,0.43431,93.725,0.37234
Eddy,AC,2018,7,26,Summer,-2.3178,2,Medium,3.0328,-1.2576,-2.2383,-1.4864,-2.6887,Nakanoshima,38.473,6.99,67.761,0.35213,65.595,0.30745
Eddy,AB,2019,7,22,Summer,-2.2789,2,Medium,2.5675,-1.566,-2.5162,-1.8226,-2.9533,Takarajima,7.763,3.38,77.321,0.41878,100.69,0.39275
Eddy,BC,2016,7,4,Summer,-2.2468,2,Medium,8.2423,-1.0494,-2.0161,-1.303,-2.6163,Nakanoshima,23.883,6.99,77.582,0.43248,94.476,0.36825
Eddy,BC,2016,7,5,Summer,-2.2448,2,Medium,2.6322,-1.2448,-2.769,-1.3938,-2.8776,Kuchinoshima,5.4712,5.72,77.603,0.43431,93.725,0.37234
Eddy,ABC,2016,7,4,Summer,-2.2132,2,Medium,8.8546,-1.0243,-1.9342,-1.2638,-2.3989,Nakanoshima,40.605,6.99,77.582,0.43248,94.476,0.36825
Eddy,BC,2017,8,2,Summer,-2.7808,1,Low,7.7754,-1.397,-2.9073,-1.5237,-2.8063,Suwanosejima,7.9787,7.28,81.852,0.392,92.838,0.32265
Eddy,AB,2016,8,12,Summer,-2.708,1,Low,3.383,-1.3935,-2.9221,-1.4504,-2.8095,Tairajima,10.452,2.33,66.441,0.41125,87.769,0.32948
Eddy,BC,2017,8,2,Summer,-2.6786,1,Low,3.0011,-1.3521,-2.6375,-1.4168,-2.6981,Kuchinoshima,23.93,5.72,81.852,0.392,92.838,0.32265
Eddy,AB,2019,8,1,Summer,-2.6581,1,Low,2.4039,-1.5302,-2.7197,-1.6869,-2.8933,Akusekijima,62.062,3.2,70.886,0.47293,84.763,0.39811
Eddy,BC,2017,8,2,Summer,-2.5898,1,Low,7.0853,-1.3556,-2.9155,-1.494,-2.6805,Suwanosejima,25.97,7.28,81.852,0.392,92.838,0.32265
Eddy,ABC,2016,8,12,Summer,-2.5894,1,Low,2.5976,-1.4031,-2.9132,-1.4728,-2.8082,Akusekijima,3.6989,3.2,66.441,0.41125,87.769,0.32948
Eddy,BC,2017,8,2,Summer,-2.584,1,Low,3.9126,-1.3909,-2.9537,-1.5169,-2.8312,Tairajima,66.567,2.33,81.852,0.392,92.838,0.32265
Eddy,AC,2019,8,16,Summer,-2.5806,1,Low,2.9902,-1.3505,-2.7249,-1.4315,-2.9852,Kuchinoshima,19.613,5.72,72.192,0.47232,70.143,0.458
Eddy,BC,2016,8,12,Summer,-2.547,1,Low,5.5223,-1.2832,-2.4705,-1.4395,-2.73,Suwanosejima,15.653,7.28,66.441,0.41125,87.769,0.32948
Eddy,B,2016,8,12,Summer,-2.5305,1,Low,3.2672,-1.3226,-2.3195,-1.4242,-2.7432,Tairajima,17.047,2.33,66.441,0.41125,87.769,0.32948
Eddy,AB,2019,8,1,Summer,-2.4939,1,Low,2.3069,-1.5464,-2.6987,-1.6631,-2.7938,Akusekijima,31.038,3.2,70.886,0.47293,84.763,0.39811
Eddy,A,2016,8,12,Summer,-2.4749,2,Medium,5.0571,-1.2712,-2.4716,-1.4376,-2.6303,Gajajima,25.859,2.38,66.441,0.41125,87.769,0.32948
Eddy,AC,2019,8,16,Summer,-2.4623,2,Medium,4.8105,-1.3011,-2.3786,-1.4175,-2.8147,Kuchinoshima,9.0821,5.72,72.192,0.47232,70.143,0.458
Eddy,AC,2019,8,16,Summer,-2.446,2,Medium,3.5289,-1.3046,-2.3443,-1.4638,-2.7064,Akusekijima,18.789,3.2,72.192,0.47232,70.143,0.458
Eddy,BC,2016,8,12,Summer,-2.399,2,Medium,7.0051,-1.2662,-2.5395,-1.4272,-2.9689,Suwanosejima,7.5322,7.28,66.441,0.41125,87.769,0.32948
Eddy,AB,2019,8,16,Summer,-2.3405,2,Medium,3.6284,-1.2948,-2.55,-1.4472,-2.612,Suwanosejima,8.1483,7.28,72.192,0.47232,70.143,0.458
Eddy,AB,2017,8,2,Summer,-2.3278,2,Medium,2.299,-1.3112,-2.7523,-1.4045,-2.7297,Nakanoshima,20.573,6.99,81.852,0.392,92.838,0.32265
Eddy,,2016,8,23,Summer,-2.1438,3,High,6.9177,-1.0577,-2.1983,-1.2412,-2.2226,Gajajima,7.9531,2.38,75.335,0.43417,78.347,0.35152
Eddy,B,2016,8,23,Summer,-2.0489,3,High,3.8133,-1.0519,-2.3203,-1.2512,-2.5925,Gajajima,9.128,2.38,75.335,0.43417,78.347,0.35152
Eddy,AB,2019,9,11,Summer,-2.8462,1,Low,7.5835,-1.4122,-2.6468,-1.5065,-2.7563,Kuchinoshima,13.264,5.72,73.339,0.32182,88.589,0.29878
Eddy,AC,2017,9,10,Summer,-2.7635,1,Low,3.8209,-1.5268,-2.7291,-1.6298,-2.9473,Kuchinoshima,27.408,5.72,76.256,0.37607,94.181,0.3202
Eddy,AB,2017,9,10,Summer,-2.755,1,Low,4.5611,-1.5187,-2.6924,-1.6432,-3.0612,Nakanoshima,11.777,6.99,76.256,0.37607,94.181,0.3202
Eddy,BC,2017,9,10,Summer,-2.6972,1,Low,3.3239,-1.5385,-2.8898,-1.6142,-2.9644,Nakanoshima,9.5476,6.99,76.256,0.37607,94.181,0.3202
Eddy,BC,2019,9,30,Autumn,-2.6304,1,Low,4.9889,-1.3205,-2.687,-1.42,-2.8384,Kuchinoshima,45.798,5.72,76.696,0.32641,84.615,0.27136
Eddy,C,2019,9,16,Summer,-2.5439,1,Low,2.5561,-1.2891,-2.6186,-1.3775,-2.7248,Tairajima,8.7416,2.33,66.161,0.26776,95.349,0.2391
Eddy,AC,2017,9,10,Summer,-2.5274,1,Low,2.2433,-1.4925,-2.6684,-1.6346,-3.0013,Kuchinoshima,13.154,5.72,76.256,0.37607,94.181,0.3202
Eddy,BC,2016,9,4,Summer,-2.4622,2,Medium,1.7271,-1.3715,-2.7519,-1.4444,-2.9316,Akusekijima,7.0722,3.2,74.351,0.42039,97.788,0.35187
Eddy,BC,2019,9,16,Summer,-2.446,2,Medium,2.1474,-1.2742,-2.5514,-1.3658,-2.7862,Gajajima,18.045,2.38,66.161,0.26776,95.349,0.2391
Eddy,BC,2018,9,18,Summer,-2.3392,2,Medium,2.9917,-1.3845,-2.6818,-1.5267,-2.7003,Takarajima,52.247,3.38,77.916,0.38239,91.861,0.30015
Eddy,AB,2016,9,4,Summer,-2.2513,2,Medium,1.6986,-1.3105,-2.4515,-1.4217,-2.8212,Tairajima,3.4404,2.33,74.351,0.42039,97.788,0.35187
Eddy,AB,2016,9,4,Summer,-2.2375,2,Medium,1.7052,-1.3138,-2.7322,-1.4096,-2.6768,Tairajima,4.057,2.33,74.351,0.42039,97.788,0.35187
Eddy,B,2016,9,4,Summer,-2.2318,2,Medium,1.4947,-1.2795,-2.3541,-1.4369,-2.7599,Akusekijima,10.462,3.2,74.351,0.42039,97.788,0.35187
Eddy,BC,2018,9,18,Summer,-2.2304,2,Medium,1.8115,-1.3781,-2.5894,-1.5039,-2.7116,Takarajima,55.906,3.38,77.916,0.38239,91.861,0.30015
Eddy,BC,2016,9,4,Summer,-2.1828,2,Medium,4.6225,-1.1513,-2.0715,-1.3336,-2.471,Kuchinoshima,16.649,5.72,74.351,0.42039,97.788,0.35187
Eddy,BC,2018,9,18,Summer,-2.1621,2,Medium,2.5833,-1.2311,-2.2549,-1.4288,-2.6381,Gajajima,43.656,2.38,77.916,0.38239,91.861,0.30015
Eddy,AB,2018,9,18,Summer,-2.1422,3,High,5.6171,-1.1278,-2.2842,-1.3474,-2.3427,Suwanosejima,46.742,7.28,77.916,0.38239,91.861,0.30015
Eddy,ABC,2018,9,18,Summer,-2.0649,3,High,1.5106,-1.2452,-2.4842,-1.3934,-2.6661,Gajajima,34.885,2.38,77.916,0.38239,91.861,0.30015
Eddy,AB,2016,9,4,Summer,-1.9947,3,High,5.0256,-1.0889,-2.0617,-1.3162,-2.4957,Kuchinoshima,6.3354,5.72,74.351,0.42039,97.788,0.35187
Eddy,BC,2016,9,4,Summer,-1.9017,3,High,1.9967,-1.1302,-2.2861,-1.3868,-2.7154,Nakanoshima,8.4049,6.99,74.351,0.42039,97.788,0.35187
Eddy,B,2016,9,4,Summer,-1.7539,3,High,1.1785,-1.1271,-1.8568,-1.3675,-2.7707,Nakanoshima,5.6096,6.99,74.351,0.42039,97.788,0.35187
Eddy,B,2016,9,4,Summer,-1.3486,3,High,2.4827,-0.71234,-1.6734,-1.2481,-2.576,Nakanoshima,20.442,6.99,74.351,0.42039,97.788,0.35187
Eddy,BC,2019,10,4,Autumn,-2.4688,2,Medium,3.6003,-1.3625,-2.6419,-1.4648,-2.8065,Kuchinoshima,42.218,5.72,77.163,0.33575,84.381,0.3237
Eddy,ABC,2016,10,1,Autumn,-2.4635,2,Medium,2.518,-1.4581,-2.5677,-1.6683,-2.6604,Akusekijima,11.995,3.2,72.168,0.39305,95.076,0.27516
Eddy,AB,2019,10,4,Autumn,-2.4208,2,Medium,2.4908,-1.3448,-2.551,-1.4723,-2.7968,Kuchinoshima,51.828,5.72,77.163,0.33575,84.381,0.3237
